uLock,inf
Hanu Yokia,44227.76764613287
Goji,44237.13066115352
Mia Neko,44237.31050939513
Fei USD,41.05200499088096
Wrapped Ether,0
Tribe,96.77232026972342
Wise Token,79.15977373652277
Tether USD,80.91744059130724
USD//C,83.96293887417414
Wrapped BTC,135.0393511608272
M2,628.4316147897771
OPES Finance,490.2969418108114
Finiko,256.16349595629435
Uniswap,195.64193490151956
HK Monetary Token,281.4218989259389
Frax,314.83653523022076
Dai Stablecoin,243.60743434651522
Wrapped MIR Token,3806.8139729063696
Wrapped UST Token,3550.5177983294125
ChainLink Token,373.25221016592695
Wrapped DogeCoin,425.10846677428344
MT,51410.36720742693
Acreage,51302.12883162332
DefiPulse Index,491.26519554969855
Maker,521.8023601411842
Rai Reflex Index,577.7102426692873
Hermez Network Token,592.804986908086
BarnBridge Governance Token,700.0766799265402
Wrapped ANATHA,627.1043767784722
DELTA.financial - deep DeFi derivatives,651.6928088241257
Aave Token,655.1716755558737
RootKit [Wrapped ETH],5913.68721817511
RootKit,5236.638804259113
Alchemist,755.4636042447673
HOPR Token,1086.5472154975869
Ethereum2Proof-of-stake,inf
Dcoin,inf
Wrapped Mirror AAPL Token,4474.269364032647
Wrapped Mirror QQQ Token,4483.466540054695
Wrapped Mirror TSLA Token,4485.387406244103
Wrapped Mirror AMZN Token,4498.0057875728235
Wrapped Mirror NFLX Token,4505.826721273901
Wrapped Mirror TWTR Token,4507.819831421919
Wrapped Mirror BABA Token,4510.937554966396
CARD.STARTER,1038.428575382175
Frax Share,1354.5206207224692
Tokenlon,1049.252283198046
Rally,1089.4103343903262
Wrapped Mirror GOOGL Token,4571.137950601056
Wrapped Mirror MSFT Token,4572.490250559
Wrapped Mirror SLV Token,4575.543821592364
renBTC,1111.5258368176583
Wrapped Mirror USO Token,4587.657775429499
Wrapped Mirror IAU Token,4610.335315647972
DAO Maker,1141.0613423230534
Wrapped Mirror VIXY Token,4626.088576840644
Xi Transfer Coin,1213.3476294554275
Diamond Blue,inf
Blue Finance,inf
SAND,1350.272537790399
TornadoCash,1367.1672739094793
Orion Protocol,1399.207252109758
Ampleforth,1452.6241589285637
Evn Token,1495.1943611771276
Wootrade Network,1596.2117192806181
HEX,1752.6173637408356
PolkastarterToken,1687.3018828420027
GOVI,1869.459717230944
SuperFarm,1970.1012596500223
Paxos Gold,5367.565437255253
Paxos Standard,7174.063854048305
KEEP Token,2106.2005196928512
WAX Economic Token,2112.7100092164037
Dogecoin,2215.5862867149845
Lympo Market Token,36449.881759762146
Lympo tokens,35506.73804010157
Oiler,2352.715814572861
10Set Token,2378.9845665642497
PoolTogether,2388.959503107326
DOGE KILLER,2473.148852290862
Matic Token,2484.5756838881352
RAMP DEFI,2532.8352276747028
Bond Appetite USD,2683.1239930262964
DeGate Token,2690.4203924497997
DEUS,11629.270323778837
DEA,13703.08516536688
Sheesha Finance,2648.5968110733374
ETH 2x Flexible Leverage Index,2668.708110501655
MCDEX Token,2688.07462521267
Badger,2836.568500331763
Nahmii,2725.73300734238
Wrapped CRES,2899.499069609854
Binance Wrapped BTC,2899.5050791643444
@EthernityChain $ERN Token,2909.0821732731565
Basic Attention Token,2913.7019069150265
Amp,2999.0185039685166
Rena,3011.282610881899
SHIBA INU,3082.329924450605
Dogelon,3094.222565747332
STAKE,3101.414731478013
Origin Dollar,3224.151673349901
Radicle,3274.7671601369657
ROOK,3200.905138415459
Perpetual,3259.2033816221665
BSG,3272.6017971147085
stakedETH,3310.143229758367
Coin Utility Token,3343.18593868686
FEGtoken,3359.6394910172676
Chain Games,3369.497660782843
Degen Ape,inf
uLockS,inf
Pinakion,3435.27693341978
Robo Token,3467.2847120948427
renFIL,3501.090593017827
CHARLI3,3518.8178900242638
Zks,3657.5247258439194
KIRA Network,3668.2118366328214
XFIT,3845.365982330346
Shopping.io,3773.184746043291
POW ETH-1.8W/M,3876.6675778900244
FARM Reward Token,3844.1454352960136
E-RADIX,3963.3073854966788
Compound,3972.401410695413
yearn.finance,4066.6337072396855
Audius,4100.928315990197
CyberFi Token,4129.65907800688
Celsius,4146.794038245644
Pundi X Token,4161.081239764913
Futureswap Token,4162.629803194723
Armor NXM,4180.060053460809
YfDAI.finance,4188.422504397007
Bifrost,4213.78833873228
RND,52324.97015795478
Yield,4248.421214067697
DEFI Top 5 Tokens Index,4288.349315151005
TrustSwap Token,4314.873305272922
EthereumMax,59468.37394369378
Mettalex,5915.353745846151
Fetch,9773.537388435827
POW BTC-35W/T,4455.905208992001
Furucombo,4391.467973700273
dego.finance,4413.685325468163
XIO Network,4511.147189876181
Kirobo,4538.840149579366
VISOR,4549.495900372218
APY Governance Token,4555.506117891811
Concentrated Voting Power,4562.763102928424
Curve DAO Token,4583.443173834021
RocketFuel,4609.813649781805
Axion,4702.5429848770145
OriginToken,4742.121123787059
Swapfolio,4769.662461691798
Ethereum Push Notification Service,4797.517262498659
Ankr ETH,4861.397855387389
Unistake,4926.934091757852
Cellframe Token,4947.583652081099
Non-Fungible Yearn,4980.35831830361
Bridge Mutual,5048.305796495377
Metaverse Index,5103.832154126154
Dextrust,5153.879875698956
tBTC,5172.72736389887
WHALE,5184.827686480363
VesperToken,5193.903295347685
SURF.Finance,5197.897843908911
Aragon Network Token,65296.15108267496
DLP Duck Token,5230.70467537496
Synthetix Network Token,5303.652029963108
Benchmark,5306.083886693217
Akita Inu,5366.4860649883485
Kishu Inu,5451.636999221053
UnFederalReserveToken,5461.320336117875
Rubic,5478.802667812852
Whiteheart Token,5481.422749977632
Wrapped Celo,5508.336725241446
