,Source,Target,Amount
0,0,1,51082.188176972878530106254084134
1,1,0,3710.674437493214362228321715089653
2,1,0,998.2998481920184709952005947722685
3,1,0,748.728259563339720589005697627923
4,0,1,18680.06226564990699815583929437583
5,1,0,1094.399786470586643325038478322254
6,0,1,4541.986104538562332423835731898853
7,1,0,9494.3591237227069796413078868521
8,1,0,836.1225539485940810557031830168935
9,1,0,994.4579274384266833502800766360095
10,1,0,5973.743045171404961817324812597895
11,1,0,199.6071595739584339822721125257209
12,1,0,3991.674832993657256554802874252554
13,1,0,299.3726181702347792077919784990235
14,0,1,6450.834994759209036300342464216455
15,0,1,1012.81294114080359902669024660762
16,0,1,1811.022628532039534539128360557528
17,0,1,2998.442024250292985851906093526251
18,1,0,7385.946975854401435321840972991705
19,1,0,92060.04631369572873238184478463675
20,1,0,23239.68710885236641236738161200521
21,1,0,10214.83717854673380297463210446555
22,1,0,38102.38023970076341074553047472961
23,1,0,3520.000926625742938230956191965471
24,0,1,2537.849740278274296574177380076808
25,1,0,4993.14465507347180469308375435578
26,0,1,451.1738701181981083843830000561242
27,0,1,73.0622387328371131839188538193115
28,1,0,4391.783722813254869686676646566638
29,1,0,56108.64626001273863607534746560525
30,1,0,6848.721132976928222682303456811825
31,1,0,2387.449006219979416676459429590461
32,1,0,8518.395500902022300003799969278615
33,1,0,799.134955701907009999538270991286
34,1,0,456.4989672397417382460389859198467
35,1,0,185.903641069050233713459002582438
36,0,1,165234.968933536052345848141810081
37,0,1,2892.674178081855420901060941386695
38,0,1,3481.694898620110403224803416568528
39,1,0,8951.95350084313543945838736464646
40,1,0,4887.725959116321669296827023397836
41,1,0,6203.034059802247421241546597818935
42,1,0,9974.93929524408147228703048154113
43,1,0,1027.950148155138989244933024405669
44,1,0,299.2567277842608323571182554124631
45,1,0,127471.6238978135943051644149140046
46,0,1,990.517724490284794319093433684603
47,1,0,4950.844670296616990323862031019218
48,0,1,12877.27169192179370429064718939684
49,0,1,1828.420141171538478821078804559744
50,1,0,6280.428785996756413249619689135585
51,1,0,22744.04681791369671527014879216797
52,1,0,2470.236140440015790139107017005621
53,0,1,3270.915963031056565853193650003291
54,0,1,5725.247515898264208116140339166875
55,1,0,99723.16741970487985013433118325255
56,1,0,42461.86760123725117522257865867974
57,1,0,2394.037106184350731362756742871429
58,1,0,149712.2874136291384998428654314943
59,0,1,930.5064892357375494439838226147425
60,1,0,10742.50007204992355385672718987447
61,0,1,320.8890873383860171941215461507685
62,0,1,11750.716927653000437356399587511
63,0,1,6692.361356560530321190391550877865
64,1,0,4984.813179609558209062665333572236
65,1,0,997.687752002909878924044929515516
66,1,0,173.6792815792187640744488967659622
67,0,1,17329.36314614923125015886792612913
68,0,1,643.6512692954180558244172540667445
69,1,0,23866.6323857939912203994881927864
70,1,0,2494.390823889932560510510817010932
71,1,0,1995.535764426287145904630942053949
72,0,1,1980.526621969715302332327378135002
73,1,0,157019.7234899461255406014301393781
74,1,0,615.401533174421116864179017625968
75,1,0,128740.9449314875332472414010348954
76,0,1,3407.848010358116648050595844440677
77,1,0,114610.2308671057365240371454966304
78,0,1,13258.00691831479983713539082914965
79,0,1,325.8758072557566848632630241074993
80,0,1,4407.181395761727707723663099496434
81,1,0,4305.287621603158923951931540909536
82,0,1,200.0792887505186922106573840660134
83,1,0,5984.45119742825710517726611384954
84,1,0,122925.1967797149899992245691308078
85,1,0,5453.2106866652724801015299246885
86,1,0,135503.9742232878578445289099252503
87,0,1,263.402968577403810817389890970137
88,1,0,172389.7843558542931609360932486369
89,1,0,51351.90222195424047791805972738845
90,1,0,39914.56296502855967227586335064922
91,0,1,2540.281938562497606464318333893594
92,1,0,1031.885651352493725903682866035157
93,1,0,2414.048116690003198611238738320254
94,1,0,16310.6507249240142672402920588569
95,1,0,499.031587826510073124009305271219
96,1,0,5768.50780783372329261838251468236
97,0,1,1572.117610866802880666065213220651
98,1,0,25260.19241274658220316823661501464
99,1,0,956.646923763860652077803380236772
100,0,1,400.2486136289981250700321619299557
101,0,1,1108.659179369529208029529101526361
102,0,1,3002.291027306318634660792007126505
103,1,0,7962.969291857711688681846231282665
104,1,0,126031.4390051346327270281455176529
105,1,0,25205.52514804026742655175368796986
106,0,1,651.058468383314231316717476630308
107,1,0,176172.9777695654124879875480592495
108,1,0,14978.00859901563652389213968514097
109,1,0,7781.55964801337125887179531308496
110,0,1,52078.15675970188545200596034559925
111,0,1,300.4123036111822850844767592269129
112,0,1,600.815909475989165859188325929953
113,1,0,498.564792293292209604693121990595
114,0,1,2189.965762399128357963480845904822
115,1,0,5990.155590647988978962039838605135
116,1,0,17916.15111670764450028131826939853
117,1,0,9314.305381679840700695489407557525
118,1,0,3295.126447024545838731397197116725
119,1,0,610.1348492937917416525116865814495
120,1,0,19265.31457598797599832602984858689
121,0,1,680.1276741942295357195768336392275
122,1,0,19975.10881311329418532718095907865
123,1,0,349.5843396142398714949926470794369
